clade,rate_subs.site.myr,cilw,ciup,cal_kyr,source
human,0.197,0.115,0.293,80,Ho et al. 2007
rock_partrige,0.125,NA,NA,238,Randi et al. 2003
amakihis,0.075,0.036,0.111,430,Ho et al. 2007
cranes,0.005,0.003,0.008,1000,Ho et al. 2007
sunbirds_1,0.108,0.083,0.132,125,Ho et al. 2007
sunbirds_2,0.047,0.016,0.095,500,Ho et al. 2007
sunbirds_3,0.026,0.015,0.049,500,Ho et al. 2007
adelie_penguin,0.96,0.53,1.43,6,Lambert et al. 2002
aurochs,0.69,0.15,1.3,12,Edwards et al. 2007
bison,0.32,0.23,0.41,60,Shapiro et al. 2004
brown_bear,0.3,0.13,0.48,59,Saarma et al. 2007
cave_bear,0.26,0.1,0.53,80,Saarma et al. 2007
cave_lion,0.2,0.03,0.4,62,Ho et al. 2007
horse,0.11,0.02,0.31,28,Ho et al. 2007
mappins_moa,0.67,0.01,2.09,6,Ho et al. 2007
ox,0.13,0,0.41,8,Ho et al. 2007
social_tuco_tuco,0.05,0.02,0.09,10,Chan et al. 2006